ticker,exchange,eps_pct_diff_surp,asof_date,act_rpt_code
KEX,NYSE,15.38,2017-02-01,AMC
KEY,NYSE,6.9,2017-01-19,BTO
KMB,NYSE,2.11,2017-01-24,BTO
KEM,NYSE,66.67,2017-02-02,BTO
KMT,NYSE,9.09,2017-02-01,AMC
KO,NYSE,2.78,2017-02-09,BTO
KSU,NYSE,-4.27,2017-01-20,BTO
LDL,NYSE,-22.39,2017-02-22,AMC
LDR,NYSE,-2.13,2017-02-09,AMC
LEE,NYSE,6.67,2017-02-02,BTO
LEG,NYSE,-8.62,2017-01-30,AMC
SR,NYSE,-2.8,2017-02-01,BTO
KATE,NYSE,17.14,2017-02-16,BTO
LLY,NYSE,-4.04,2017-01-31,BTO
LM,NYSE,-21.88,2017-02-01,AMC
LNC,NYSE,3.51,2017-02-01,AMC
LPX,NYSE,21.05,2017-02-08,BTO
LXU,NYSE,-39.76,2017-02-27,AMC
LTC,NYSE,1.3,2017-02-22,AMC
L,NYSE,25.4,2017-02-06,BTO
LUK,NYSE,60.87,2017-02-27,BTO
LUV,NYSE,7.25,2017-01-26,BTO
MKL,NYSE,85.16,2017-02-08,AMC
MAN,NYSE,5.88,2017-01-31,BTO
MTW,NYSE,-35.29,2017-02-01,AMC
SM,NYSE,20.51,2017-02-23,AMC
MAS,NYSE,-5.71,2017-02-09,BTO
MTZ,NYSE,36.0,2017-02-23,AMC
MCD,NYSE,2.13,2017-01-23,BTO
MDC,NYSE,14.71,2017-02-01,BTO
MDP,NYSE,7.44,2017-01-25,BTO
MDR,NYSE,300.0,2017-02-21,BTO
MDU,NYSE,13.79,2017-02-01,AMC
CVS,NYSE,2.4,2017-02-09,BTO
MFC,NYSE,30.56,2017-02-09,BTO
MGA,NYSE,-10.14,2017-02-24,BTO
MGM,NYSE,-35.29,2017-02-16,BTO
SPGI,NYSE,6.67,2017-02-07,BTO
MMC,NYSE,5.95,2017-02-02,BTO
MMM,NYSE,0.53,2017-01-24,BTO
MSA,NYSE,-7.14,2017-02-23,AMC
MNI,NYSE,158.46,2017-02-09,BTO
MO,NYSE,1.49,2017-02-01,BTO
MOD,NYSE,-12.5,2017-02-06,AMC
MOG.A,NYSE,9.09,2017-01-27,BTO
MHK,NYSE,1.24,2017-02-09,AMC
MSI,NYSE,10.0,2017-02-02,AMC
MCS,NYSE,19.23,2017-02-23,BTO
MCY,NYSE,5.45,2017-02-06,BTO
MRK,NYSE,1.14,2017-02-02,BTO
MRO,NYSE,23.08,2017-02-15,AMC
MTG,NYSE,27.27,2017-01-19,BTO
MTB,NYSE,-0.99,2017-01-19,BTO
MTX,NYSE,0.93,2017-02-02,AMC
MUR,NYSE,15.79,2017-01-25,AMC
NBL,NYSE,388.89,2017-02-13,AMC
NBR,NYSE,6.25,2017-02-22,AMC
NE,NYSE,34.78,2017-02-09,AMC
NEM,NYSE,-15.38,2017-02-21,AMC
NFG,NYSE,22.35,2017-02-02,AMC
NHI,NYSE,0.79,2017-02-17,BTO
NI,NYSE,-2.94,2017-02-22,BTO
NJR,NYSE,-22.03,2017-02-08,BTO
THC,NYSE,-70.0,2017-02-27,AMC
NNN,NYSE,5.08,2017-02-13,BTO
NOC,NYSE,6.83,2017-01-26,BTO
NR,NYSE,25.0,2017-02-09,AMC
NSC,NYSE,2.9,2017-01-25,BTO
ES,NYSE,-4.0,2017-02-21,AMC
NUE,NYSE,47.06,2017-01-31,BTO
NVO,NYSE,-3.85,2017-02-03,None
NVR,NYSE,13.21,2017-01-25,BTO
NWN,NYSE,-3.85,2017-02-27,BTO
NYT,NYSE,30.43,2017-02-02,BTO
OGE,NYSE,-6.45,2017-02-23,BTO
OHI,NYSE,6.02,2017-02-08,AMC
OI,NYSE,6.38,2017-02-01,AMC
OII,NYSE,400.0,2017-02-08,AMC
OKE,NYSE,-8.51,2017-02-27,AMC
OLN,NYSE,14.81,2017-01-31,AMC
BRS,NYSE,38.3,2017-02-02,AMC
OMC,NYSE,1.38,2017-02-07,BTO
OMI,NYSE,4.0,2017-02-14,AMC
ORI,NYSE,43.33,2017-01-26,BTO
OSK,NYSE,136.36,2017-01-26,BTO
OXY,NYSE,-333.33,2017-02-09,BTO
FCFS,NYSE,5.48,2017-02-02,BTO
PBI,NYSE,-8.62,2017-02-01,BTO
PCG,NYSE,3.1,2017-02-16,BTO
PDS,NYSE,42.86,2017-02-09,BTO
PEG,NYSE,3.85,2017-02-24,BTO
PEI,NYSE,5.56,2017-02-23,AMC
PEP,NYSE,3.45,2017-02-15,BTO
PFE,NYSE,-6.0,2017-01-31,BTO
PG,NYSE,1.89,2017-01-20,BTO
PGR,NYSE,21.57,2017-01-25,BTO
PH,NYSE,36.43,2017-02-02,BTO
PHM,NYSE,15.52,2017-01-26,BTO
PKD,NYSE,13.16,2017-02-15,AMC
PNC,NYSE,5.91,2017-01-13,BTO
PNR,NYSE,6.85,2017-01-31,BTO
PNW,NYSE,-4.08,2017-02-24,BTO
POT,NYSE,-22.22,2017-01-26,BTO
PPG,NYSE,0.85,2017-01-19,BTO
PPL,NYSE,15.38,2017-02-01,BTO
PSB,NYSE,0.72,2017-02-21,AMC
WTR,NYSE,-3.45,2017-02-22,AMC
PWR,NYSE,-3.7,2017-02-21,BTO
R,NYSE,-23.57,2017-02-02,BTO
RDC,NYSE,233.33,2017-02-24,BTO
RES,NYSE,23.08,2017-01-25,BTO
RGS,NYSE,-200.0,2017-02-03,BTO
RGR,NYSE,21.98,2017-02-22,AMC
RHI,NYSE,-4.69,2017-01-26,AMC
RJF,NYSE,5.94,2017-01-25,AMC
RLI,NYSE,19.15,2017-01-25,AMC
ROG,NYSE,8.05,2017-02-20,AMC
ROK,NYSE,20.69,2017-01-25,BTO
ROP,NYSE,2.2,2017-02-09,BTO
RTN,NYSE,1.08,2017-01-26,BTO
BSAC,NYSE,-10.26,2017-02-01,None
SCG,NYSE,-6.45,2017-02-16,BTO
SCL,NYSE,-24.64,2017-02-22,BTO
SMG,NYSE,25.0,2017-01-31,BTO
SEE,NYSE,1.33,2017-02-09,BTO
SF,NYSE,7.94,2017-01-31,BTO
SHW,NYSE,5.41,2017-01-26,BTO
SJI,NYSE,2.44,2017-02-24,AMC
SJW,NYSE,3.08,2017-02-22,AMC
AOS,NYSE,2.17,2017-02-02,BTO
SMP,NYSE,-20.75,2017-02-16,BTO
SNA,NYSE,2.49,2017-02-02,BTO
SNE,NYSE,-65.79,2017-02-03,None
PII,NYSE,2.61,2017-01-24,BTO
SNV,NYSE,1.89,2017-01-17,BTO
SO,NYSE,-22.58,2017-02-22,BTO
SON,NYSE,-1.59,2017-02-09,BTO
SPA,NYSE,-60.0,2017-02-07,AMC
TRV,NYSE,21.67,2017-01-24,BTO
CAA,NYSE,16.67,2017-02-08,AMC
SPXC,NYSE,13.11,2017-02-23,AMC
SCI,NYSE,11.9,2017-02-13,AMC
SSP,NYSE,4.55,2017-02-24,BTO
STT,NYSE,10.45,2017-01-25,BTO
STI,NYSE,2.27,2017-01-20,BTO
STE,NYSE,-5.77,2017-02-07,BTO
SYK,NYSE,1.14,2017-01-24,AMC
SWK,NYSE,1.79,2017-01-26,BTO
SWN,NYSE,-33.33,2017-02-23,AMC
SWX,NYSE,1.48,2017-02-27,AMC
SXI,NYSE,7.45,2017-02-03,BTO
SYY,NYSE,7.41,2017-02-06,BTO
TNC,NYSE,11.84,2017-02-23,BTO
TCB,NYSE,-10.0,2017-01-27,BTO
TCO,NYSE,-1.94,2017-02-09,AMC
TDW,NYSE,14.53,2017-02-07,AMC
TDY,NYSE,20.44,2017-02-02,BTO
TER,NYSE,52.38,2017-01-25,AMC
TEVA,NYSE,3.03,2017-02-13,BTO
TEX,NYSE,216.67,2017-02-21,AMC
TFX,NYSE,2.4,2017-02-23,BTO
TEN,NYSE,17.61,2017-02-07,BTO
TKR,NYSE,4.44,2017-02-09,BTO
TMK,NYSE,3.57,2017-02-01,AMC
TMO,NYSE,1.69,2017-01-31,BTO
TOT,NYSE,4.35,2017-02-10,None
TM,NYSE,36.45,2017-02-07,None
TRN,NYSE,15.79,2017-02-16,AMC
TRP,NYSE,-11.11,2017-02-16,BTO
TRR,NYSE,-7.14,2017-02-02,BTO
TSO,NYSE,88.89,2017-02-06,AMC
TSS,NYSE,6.15,2017-01-24,AMC
TXT,NYSE,-8.05,2017-01-25,BTO
JCI,NYSE,1.92,2017-02-01,BTO
TYL,NYSE,2.7,2017-02-08,AMC
TSN,NYSE,25.2,2017-02-06,BTO
UDR,NYSE,2.22,2017-01-30,AMC
